Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
0,1997,4,2,0.0014527900221892771,8.964274423016125e-06,0.2799532904629363,0.0014527886623381585,0.0014527941430440875,0.796086957
1,1997,1,2,0.00013061893802975252,7.405943724312362e-07,0.2799532904629363,0.00013061757637806209,0.00013062306434096491,0.710434783
8,1997,1,2,1.5656952490419366e-05,3.4777110338286437e-09,0.2799532904629363,1.5655590682170292e-05,1.566107927606267e-05,0.238333333
9,1997,4,2,0.0003868576111570558,0.020060859943092,0.2799532904629363,0.00038685624985431875,0.0003868617364108095,5238.051739
11,1997,1,2,3.421698542375119e-05,1.2551375276636105e-07,0.2799532904629363,3.4215623640777715e-05,3.422111213280002e-05,0.420909091
13,1997,4,2,0.00026740815211952576,1.4342396459057858e-06,0.2799532904629363,0.0002674067906541189,0.00026741227786622956,0.643636364
16,1997,2,2,5.862254304552368e-05,2.382232058172621e-07,0.2799532904629363,5.862118129578641e-05,5.862666965385442e-05,0.465454545
21,1997,1,2,0.001860323470670262,0.00014291732532405944,0.2799532904629363,0.0018603221113741345,0.0018603275898432428,9.919565217
23,1997,2,2,0.0001987379984563288,8.15365159658552e-07,0.2799532904629363,0.0001987366368974049,0.00019874212448642403,0.461363636
24,1997,1,2,0.00037819757458158813,2.3270629149541577e-06,0.2799532904629363,0.0003781962132670576,0.00037820169987108057,0.615652174
26,1997,1,2,0.0001164086052854624,4.584729687006007e-06,0.2799532904629363,0.00011640724361441992,0.00011641273165531874,4.568947368
29,1997,4,2,0.0001951165286156787,8.024027821688271e-07,0.2799532904629363,0.00019511516705182297,0.0001951206546607192,0.482352941
31,1997,4,2,0.0001541388100926704,2.836389503635789e-06,0.2799532904629363,0.00015413744847300997,0.00015414293630681977,2.342608696
32,1997,2,2,0.002131481024988939,9.211508061966488e-06,0.2799532904629363,0.0021314796660620817,0.0021314851430428933,0.520869565
37,1997,4,2,0.0014812303695791653,0.0001062078722731584,0.2799532904629363,0.0014812290097667776,0.0014812344903166067,7.561304348
39,1997,2,2,0.0054969877391300576,2.446601327853304e-05,0.2799532904629363,0.005496986384786447,0.00549699184329507,0.554782609
40,1997,0,2,0.01195395037360136,6.296411634524186e-05,0.2799532904629363,0.01195394902805103,0.011953954451119454,0.780869565
40,1997,3,2,0.0034438111584945232,3.3136737274739174e-05,0.2799532904629363,0.0034438098013548357,0.0034438152711326877,1.060434783
40,1997,5,2,0.03431186202900583,0.0002604008852355359,0.2799532904629363,0.0343118607201074,0.03431186601425616,0.941304348
43,1997,4,2,0.00031027533316809066,1.305248182105596e-06,0.2799532904629363,0.0003102739717610616,0.000310279458737888,0.487391304
44,1997,1,2,0.00020645330376901818,8.521972810622827e-07,0.2799532904629363,0.0002064519422206012,0.0002064574297672735,0.473
46,1997,1,2,0.0006163879442095644,0.00020351738855516914,0.2799532904629363,0.0006163865832194087,0.0006163920685160809,41.89695652
48,1997,4,2,0.00018460639331727022,5.156180840973759e-06,0.2799532904629363,0.00018460503173910149,0.0001846105194056845,3.440434783
49,1997,4,2,4.850604577327282e-05,1.853936136579197e-06,0.2799532904629363,4.850468400975861e-05,4.851017242335283e-05,4.41826087
50,1997,4,2,8.51242231565855e-06,4.110022130888397e-09,0.2799532904629363,8.511060497679842e-06,8.516549130786259e-06,0.38
51,1997,4,2,0.00019820658712101604,1.1024343977236801e-06,0.2799532904629363,0.0001982052255613684,0.00019821071315330433,0.67
53,1997,2,2,0.0016670078360242542,1.7397091368953527e-05,0.2799532904629363,0.0016670064764648638,0.00166701195599502,1.25952381
0,1997,4,12,0.0018323751708130707,2.107840657603541e-05,0.15442940781264997,0.0018323738114788826,0.0018323792901013903,1.293571429
1,1997,1,12,0.008302012949726647,1.5566392665191276e-05,0.15442940781264997,0.008302011599203005,0.008302017042315741,0.268235294
2,1997,1,12,0.005927175056016413,2.08751185583307e-05,0.15442940781264997,0.0059271737022586445,0.005927179158406107,0.404545455
2,1997,3,12,1.6129318121808512e-05,1.046474865633892e-07,0.15442940781264997,1.6127956314202716e-05,1.6133444905502433e-05,0.81
5,1997,1,12,7.527343155199104e-05,1.4606386342080304e-07,0.15442940781264997,7.527206982492944e-05,7.527755809160606e-05,0.4375
6,1997,4,12,0.00041783692381566057,1.9190641795763518e-07,0.15442940781264997,0.00041783556255511206,0.00041784104894156734,0.058571429
10,1997,4,12,0.00034082164399792204,4.509958899778691e-07,0.15442940781264997,0.0003408202826324918,0.00034082576944165937,0.121333333
13,1997,1,12,0.003672219623172483,2.200537464432501e-05,0.15442940781264997,0.0036722182663438485,0.0036722237348680393,1.078333333
13,1997,2,12,8.983803851982301e-05,1.2480240278216884e-06,0.15442940781264997,8.983667681259593e-05,8.984216499933208e-05,1.869444444
14,1997,4,12,9.9600261568532e-05,6.005374644325008e-07,0.15442940781264997,9.95988998745994e-05,9.960438800775385e-05,1.585
15,1997,1,12,7.121895988256754e-05,7.500790388871326e-07,0.15442940781264997,7.121759814998445e-05,7.122308643891476e-05,1.262307692
17,1997,1,12,0.016683668713095633,8.307967119822953e-05,0.15442940781264997,0.01668366737398638,0.016683672771094893,0.709411765
17,1997,2,12,0.0037871028811065845,2.8623300663926654e-05,0.15442940781264997,0.0037871015244344015,0.003787106992328035,1.133333333
19,1997,1,12,0.0035205312097926437,1.2665823585203921e-05,0.15442940781264997,0.0035205298527574355,0.0035205353221141955,0.45
19,1997,2,12,0.003211545041160219,1.305279797660449e-05,0.15442940781264997,0.0032115436837042246,0.0032115491547569106,0.514705882
20,1997,1,12,0.007669830279717509,8.158283275371483e-05,0.15442940781264997,0.007669828928332938,0.007669834374915524,1.228
20,1997,2,12,0.02954590930920374,0.00011425434713879229,0.15442940781264997,0.02954590797933835,0.029545913314122457,0.510714286
20,1997,3,12,0.000120777987375812,2.392507113499842e-06,0.15442940781264997,0.00012077662571071986,0.00012078211372763653,2.470909091
24,1997,1,12,0.00989599109094801,0.00021990705026873222,0.15442940781264997,0.009895989742595092,0.009895995176958994,2.687777778
24,1997,2,12,0.0009613329465314875,1.563895036357888e-05,0.15442940781264997,0.0009613315860110881,0.0009613370694144677,1.98
24,1997,3,12,0.0001914950587750286,3.302718937717357e-06,0.15442940781264997,0.00019149369720624103,0.00019149918483501435,2.165714286
